year,WEEK,Total_cases,sales,bert_sentiment_score,date,flu_trend,isPartial
2014,36,117,85.4,-1.0,,0.0,
2014,36,117,73.7,-1.0,,0.0,
2014,36,117,123.7,-1.0,,0.0,
2014,36,117,109.3,-1.0,,0.0,
2014,36,117,69.1,-1.0,,0.0,
2014,36,117,70.80000000000001,-1.0,,0.0,
2014,36,117,58.8,-1.0,,0.0,
2014,36,117,74.5,-1.0,,0.0,
2014,36,117,45.2,-1.0,,0.0,
2014,36,117,33.4,-1.0,,0.0,
2014,37,132,48.2,-1.0,,0.0,
2014,37,132,36.2,-1.0,,0.0,
2014,37,132,85.4,-1.0,,0.0,
2014,37,132,73.7,-1.0,,0.0,
2014,37,132,123.7,-1.0,,0.0,
2014,37,132,109.3,-1.0,,0.0,
2014,37,132,69.1,-1.0,,0.0,
2014,37,132,70.80000000000001,-1.0,,0.0,
2014,37,132,58.8,-1.0,,0.0,
2014,37,132,74.5,-1.0,,0.0,
2014,37,132,45.2,-1.0,,0.0,
2014,37,132,33.4,-1.0,,0.0,
2014,38,171,48.2,-1.0,,0.0,
2014,38,171,36.2,-1.0,,0.0,
2014,38,171,85.4,-1.0,,0.0,
2014,38,171,73.7,-1.0,,0.0,
2014,38,171,123.7,-1.0,,0.0,
2014,38,171,109.3,-1.0,,0.0,
2014,38,171,69.1,-1.0,,0.0,
2014,38,171,70.80000000000001,-1.0,,0.0,
2014,38,171,58.8,-1.0,,0.0,
2014,38,171,74.5,-1.0,,0.0,
2014,38,171,45.2,-1.0,,0.0,
2014,38,171,33.4,-1.0,,0.0,
2014,39,205,48.2,-1.0,,0.0,
2014,39,205,36.2,-1.0,,0.0,
2014,39,205,85.4,-1.0,,0.0,
2014,39,205,73.7,-1.0,,0.0,
2014,39,205,123.7,-1.0,,0.0,
2014,39,205,109.3,-1.0,,0.0,
2014,39,205,69.1,-1.0,,0.0,
2014,39,205,70.80000000000001,-1.0,,0.0,
2014,39,205,58.8,-1.0,,0.0,
2014,39,205,74.5,-1.0,,0.0,
2014,39,205,45.2,-1.0,,0.0,
2014,39,205,33.4,-1.0,,0.0,
2014,40,309,48.2,-1.0,,0.0,
2014,40,309,36.2,-1.0,,0.0,
2014,40,309,85.4,-1.0,,0.0,
2014,40,309,73.7,-1.0,,0.0,
2014,40,309,123.7,-1.0,,0.0,
2014,40,309,109.3,-1.0,,0.0,
2014,40,309,69.1,-1.0,,0.0,
2014,40,309,70.80000000000001,-1.0,,0.0,
2014,40,309,58.8,-1.0,,0.0,
2014,40,309,74.5,-1.0,,0.0,
2014,40,309,45.2,-1.0,,0.0,
2014,40,309,33.4,-1.0,,0.0,
2014,41,439,48.2,-1.0,,0.0,
2014,41,439,36.2,-1.0,,0.0,
2014,41,439,85.4,-1.0,,0.0,
2014,41,439,73.7,-1.0,,0.0,
2014,41,439,123.7,-1.0,,0.0,
2014,41,439,109.3,-1.0,,0.0,
2014,41,439,69.1,-1.0,,0.0,
2014,41,439,70.80000000000001,-1.0,,0.0,
2014,41,439,58.8,-1.0,,0.0,
2014,41,439,74.5,-1.0,,0.0,
2014,41,439,45.2,-1.0,,0.0,
2014,41,439,33.4,-1.0,,0.0,
2014,42,584,48.2,-1.0,,0.0,
2014,42,584,36.2,-1.0,,0.0,
2014,42,584,85.4,-1.0,,0.0,
2014,42,584,73.7,-1.0,,0.0,
2014,42,584,123.7,-1.0,,0.0,
2014,42,584,109.3,-1.0,,0.0,
2014,42,584,69.1,-1.0,,0.0,
2014,42,584,70.80000000000001,-1.0,,0.0,
2014,42,584,58.8,-1.0,,0.0,
2014,42,584,74.5,-1.0,,0.0,
2014,42,584,45.2,-1.0,,0.0,
2014,42,584,33.4,-1.0,,0.0,
2014,43,545,48.2,-1.0,,0.0,
2014,43,545,36.2,-1.0,,0.0,
2014,43,545,85.4,-1.0,,0.0,
2014,43,545,73.7,-1.0,,0.0,
2014,43,545,123.7,-1.0,,0.0,
2014,43,545,109.3,-1.0,,0.0,
2014,43,545,69.1,-1.0,,0.0,
2014,43,545,70.80000000000001,-1.0,,0.0,
2014,43,545,58.8,-1.0,,0.0,
2014,43,545,74.5,-1.0,,0.0,
2014,43,545,45.2,-1.0,,0.0,
2014,43,545,33.4,-1.0,,0.0,
2014,44,727,48.2,-1.0,,0.0,
2014,44,727,36.2,-1.0,,0.0,
2014,44,727,85.4,-1.0,,0.0,
2014,44,727,73.7,-1.0,,0.0,
2014,44,727,123.7,-1.0,,0.0,
2014,44,727,109.3,-1.0,,0.0,
2014,44,727,69.1,-1.0,,0.0,
2014,44,727,70.80000000000001,-1.0,,0.0,
